CONFIG_END	pc	cacr	tc
CONFIG_END	800C440E	80008000	0000C000
ENABLED_CYCLES	ic	dc	mmu
ENABLED_CYCLES	524160000	524160000	524160000
SUMMARY	cycles	dispatches	clocks_per_dispatch	rd_accept_samples	look_hit_cycles	ipred_hit_cycles
SUMMARY	524160000	84831590	6.178830	57523785	73871773	3604744
STATE	id	cycles	entries	percent
TRANSITION	51	3	369319
TRANSITION	51	4	107895
TRANSITION	51	10	234246
TRANSITION	51	20	242962
TRANSITION	51	56	1880
TRANSITION	51	62	8
TRANSITION	51	181	19
TRANSITION	51	190	981
TRANSITION	52	3	393564
TRANSITION	52	181	41
TRANSITION	53	3	329736
TRANSITION	53	4	3227916
TRANSITION	53	20	795618
TRANSITION	53	51	6859
TRANSITION	53	56	1
TRANSITION	53	65	596
TRANSITION	53	181	62
TRANSITION	53	190	359362
TRANSITION	55	3	780470
TRANSITION	55	4	28097
TRANSITION	55	181	64
TRANSITION	56	10	830880
TRANSITION	57	3	90309
TRANSITION	57	181	39
TRANSITION	58	3	32576
TRANSITION	58	4	200355
TRANSITION	58	20	476014
TRANSITION	58	51	2950
TRANSITION	58	53	668
TRANSITION	58	55	256
TRANSITION	58	56	105023
TRANSITION	58	62	5
TRANSITION	58	181	71
TRANSITION	58	190	2128
TRANSITION	59	10	204483
TRANSITION	62	10	213502
TRANSITION	65	9	213504
TRANSITION	68	11	233640
TRANSITION	68	69	635984
TRANSITION	69	70	635984
TRANSITION	70	3	81440
TRANSITION	70	4	486984
TRANSITION	70	9	444652
TRANSITION	70	10	2519905
TRANSITION	70	20	231699
TRANSITION	70	51	2144
TRANSITION	70	53	113
TRANSITION	70	55	1468
TRANSITION	70	56	3229
TRANSITION	70	65	60553
TRANSITION	70	153	74
TRANSITION	70	181	356
TRANSITION	70	190	1565
TRANSITION	78	79	120125
TRANSITION	79	3	685
TRANSITION	79	4	61596
TRANSITION	79	20	57814
TRANSITION	79	56	23
TRANSITION	79	181	7
TRANSITION	81	5	3851
TRANSITION	81	82	163447
TRANSITION	82	5	163447
TRANSITION	87	107	1948
TRANSITION	89	90	2523121
TRANSITION	90	91	2523121
TRANSITION	91	92	2523121
TRANSITION	92	9	2523121
TRANSITION	96	97	2523121
TRANSITION	97	4	2309168
TRANSITION	97	51	184
